# Chunk-averaged data for fix wall_2d and group wall
# Timestep Number-of-chunks Total-count
# Chunk OrigID Ncount v_x v_z
0 780 7800
  570 670 10 18.288 158.752
  571 671 10 20.3201 158.752
  572 672 10 22.3521 158.752
  573 673 10 24.3841 158.752
  574 674 10 26.4161 158.752
  575 675 10 28.4481 158.752
  576 676 10 30.4801 158.752
  577 677 10 32.5121 158.752
  578 678 10 34.5441 158.752
  579 679 10 36.5761 158.752
  580 680 10 38.6081 158.752
  581 681 10 0 160.784
  582 682 10 2.032 160.784
  583 683 10 4.06401 160.784
  584 684 10 6.09602 160.784
  585 685 10 8.12802 160.784
  586 686 10 10.16 160.784
  587 687 10 12.192 160.784
  588 688 10 14.224 160.784
  589 689 10 16.256 160.784
  590 690 10 18.288 160.784
  591 691 10 20.3201 160.784
  592 692 10 22.3521 160.784
  593 693 10 24.3841 160.784
  594 694 10 26.4161 160.784
  595 695 10 28.4481 160.784
  596 696 10 30.4801 160.784
  597 697 10 32.5121 160.784
  598 698 10 34.5441 160.784
  599 699 10 36.5761 160.784
  600 700 10 38.6081 160.784
  601 701 10 0 162.816
  602 702 10 2.032 162.816
  603 703 10 4.06401 162.816
  604 704 10 6.09602 162.816
  605 705 10 8.12802 162.816
  606 706 10 10.16 162.816
  607 707 10 12.192 162.816
  608 708 10 14.224 162.816
  609 709 10 16.256 162.816
  610 710 10 18.288 162.816
  611 711 10 20.3201 162.816
  612 712 10 22.3521 162.816
  613 713 10 24.3841 162.816
  614 714 10 26.4161 162.816
  615 715 10 28.4481 162.816
  616 716 10 30.4801 162.816
  617 717 10 32.5121 162.816
  618 718 10 34.5441 162.816
  619 719 10 36.5761 162.816
  620 720 10 38.6081 162.816
  621 721 10 0 164.848
  622 722 10 2.032 164.848
  623 723 10 4.06401 164.848
  624 724 10 6.09602 164.848
  625 725 10 8.12802 164.848
  626 726 10 10.16 164.848
  627 727 10 12.192 164.848
  628 728 10 14.224 164.848
  629 729 10 16.256 164.848
  630 730 10 18.288 164.848
  631 731 10 20.3201 164.848
  632 732 10 22.3521 164.848
  633 733 10 24.3841 164.848
  634 734 10 26.4161 164.848
  635 735 10 28.4481 164.848
  636 736 10 30.4801 164.848
  637 737 10 32.5121 164.848
  638 738 10 34.5441 164.848
  639 739 10 36.5761 164.848
  640 740 10 38.6081 164.848
  641 741 10 0 166.88
  642 742 10 2.032 166.88
  643 743 10 4.06401 166.88
  644 744 10 6.09602 166.88
  645 745 10 8.12802 166.88
  646 746 10 10.16 166.88
  647 747 10 12.192 166.88
  648 748 10 14.224 166.88
  649 749 10 16.256 166.88
  650 750 10 18.288 166.88
  651 751 10 20.3201 166.88
  652 752 10 22.3521 166.88
  653 753 10 24.3841 166.88
  654 754 10 26.4161 166.88
  655 755 10 28.4481 166.88
  656 756 10 30.4801 166.88
  657 757 10 32.5121 166.88
  658 758 10 34.5441 166.88
  659 759 10 36.5761 166.88
  660 760 10 38.6081 166.88
  661 761 10 0 168.912
  662 762 10 2.032 168.912
  663 763 10 4.06401 168.912
  664 764 10 6.09602 168.912
  665 765 10 8.12802 168.912
  666 766 10 10.16 168.912
  667 767 10 12.192 168.912
  668 768 10 14.224 168.912
  669 769 10 16.256 168.912
  670 770 10 18.288 168.912
  671 771 10 20.3201 168.912
  672 772 10 22.3521 168.912
  673 773 10 24.3841 168.912
  674 774 10 26.4161 168.912
  675 775 10 28.4481 168.912
  676 776 10 30.4801 168.912
  677 777 10 32.5121 168.912
  678 778 10 34.5441 168.912
  679 779 10 36.5761 168.912
  680 780 10 38.6081 168.912
  681 781 10 0 170.944
  682 782 10 2.032 170.944
  683 783 10 4.06401 170.944
  684 784 10 6.09602 170.944
  685 785 10 8.12802 170.944
  686 786 10 10.16 170.944
  687 787 10 12.192 170.944
  688 788 10 14.224 170.944
  689 789 10 16.256 170.944
  690 790 10 18.288 170.944
  691 791 10 20.3201 170.944
  692 792 10 22.3521 170.944
  693 793 10 24.3841 170.944
  694 794 10 26.4161 170.944
  695 795 10 28.4481 170.944
  696 796 10 30.4801 170.944
  697 797 10 32.5121 170.944
  698 798 10 34.5441 170.944
  699 799 10 36.5761 170.944
  700 800 10 38.6081 170.944
  701 801 10 0 172.976
  702 802 10 2.032 172.976
  703 803 10 4.06401 172.976
  704 804 10 6.09602 172.976
  705 805 10 8.12802 172.976
  706 806 10 10.16 172.976
  707 807 10 12.192 172.976
  708 808 10 14.224 172.976
  709 809 10 16.256 172.976
  710 810 10 18.288 172.976
  711 811 10 20.3201 172.976
  712 812 10 22.3521 172.976
  713 813 10 24.3841 172.976
  714 814 10 26.4161 172.976
  715 815 10 28.4481 172.976
  716 816 10 30.4801 172.976
  717 817 10 32.5121 172.976
  718 818 10 34.5441 172.976
  719 819 10 36.5761 172.976
  720 820 10 38.6081 172.976
  721 821 10 0 175.008
  722 822 10 2.032 175.008
  723 823 10 4.06401 175.008
  724 824 10 6.09602 175.008
  725 825 10 8.12802 175.008
  726 826 10 10.16 175.008
  727 827 10 12.192 175.008
  728 828 10 14.224 175.008
  729 829 10 16.256 175.008
  730 830 10 18.288 175.008
  731 831 10 20.3201 175.008
  732 832 10 22.3521 175.008
  733 833 10 24.3841 175.008
  734 834 10 26.4161 175.008
  735 835 10 28.4481 175.008
  736 836 10 30.4801 175.008
  737 837 10 32.5121 175.008
  738 838 10 34.5441 175.008
  739 839 10 36.5761 175.008
  740 840 10 38.6081 175.008
  741 841 10 0 177.04
  742 842 10 2.032 177.04
  743 843 10 4.06401 177.04
  744 844 10 6.09602 177.04
  745 845 10 8.12802 177.04
  746 846 10 10.16 177.04
  747 847 10 12.192 177.04
  748 848 10 14.224 177.04
  749 849 10 16.256 177.04
  750 850 10 18.288 177.04
  751 851 10 20.3201 177.04
  752 852 10 22.3521 177.04
  753 853 10 24.3841 177.04
  754 854 10 26.4161 177.04
  755 855 10 28.4481 177.04
  756 856 10 30.4801 177.04
  757 857 10 32.5121 177.04
  758 858 10 34.5441 177.04
  759 859 10 36.5761 177.04
  760 860 10 38.6081 177.04
  761 861 10 0 179.072
  762 862 10 2.032 179.072
  763 863 10 4.06401 179.072
  764 864 10 6.09602 179.072
  765 865 10 8.12802 179.072
  766 866 10 10.16 179.072
  767 867 10 12.192 179.072
  768 868 10 14.224 179.072
  769 869 10 16.256 179.072
  770 870 10 18.288 179.072
  771 871 10 20.3201 179.072
  772 872 10 22.3521 179.072
  773 873 10 24.3841 179.072
  774 874 10 26.4161 179.072
  775 875 10 28.4481 179.072
  776 876 10 30.4801 179.072
  777 877 10 32.5121 179.072
  778 878 10 34.5441 179.072
  779 879 10 36.5761 179.072
  780 880 10 38.6081 179.072
